"","GEOID","County","State","Year","Race","Population","Householder","head.rate"
"372","17141","Ogle County","Illinois",2007,"Asian",364,110,0.302197802197802
"373","17141","Ogle County","Illinois",2007,"NH_White",48714,19014,0.390319004803547
"374","17141","Ogle County","Illinois",2007,"Hispanic",4499,NA,NA
"375","17141","Ogle County","Illinois",2007,"Other",2598,474,0.182448036951501
"376","17141","Ogle County","Illinois",2007,"NH",50044,NA,NA
"377","17197","Will County","Illinois",2007,"All",654540,210889,0.322194212729551
"378","17197","Will County","Illinois",2007,"White",504425,169470,0.33596669475145
"379","17197","Will County","Illinois",2007,"Black",69319,21429,0.309136023312512
"380","17197","Will County","Illinois",2007,"Asian",24169,6717,0.277917994124705
"381","17197","Will County","Illinois",2007,"NH_White",463975,160522,0.345971226898001
"382","17197","Will County","Illinois",2007,"Hispanic",89109,20394,0.228865771134229
"383","17197","Will County","Illinois",2007,"Other",56627,13273,0.23439348720575
"384","17197","Will County","Illinois",2007,"NH",565431,190495,0.336902292233712
"385","17201","Winnebago County","Illinois",2007,"All",294171,110162,0.374482868807598
"386","17201","Winnebago County","Illinois",2007,"White",239382,93011,0.388546340159243
"387","17201","Winnebago County","Illinois",2007,"Black",33301,11390,0.342031770817693
"388","17201","Winnebago County","Illinois",2007,"Asian",6069,1897,0.312572087658593
"389","17201","Winnebago County","Illinois",2007,"NH_White",222429,88579,0.39823494238611
"390","17201","Winnebago County","Illinois",2007,"Hispanic",28440,7488,0.263291139240506
"391","17201","Winnebago County","Illinois",2007,"Other",15419,3864,0.250599909202931
"392","17201","Winnebago County","Illinois",2007,"NH",265731,102674,0.386383222130651
"393","18089","Lake County","Indiana",2007,"All",490093,184254,0.37595721628344
"394","18089","Lake County","Indiana",2007,"White",307878,119660,0.388660443422395
"395","18089","Lake County","Indiana",2007,"Black",124832,48283,0.38678383747757
"396","18089","Lake County","Indiana",2007,"Asian",5355,1808,0.337628384687208
"397","18089","Lake County","Indiana",2007,"NH_White",285414,112859,0.395422088615135
"398","18089","Lake County","Indiana",2007,"Hispanic",68494,20163,0.294376149735743
"399","18089","Lake County","Indiana",2007,"Other",52028,14503,0.278753747981856
"400","18089","Lake County","Indiana",2007,"NH",421599,164091,0.389211074978831
"401","18091","LaPorte County","Indiana",2007,"All",109440,41694,0.380975877192982
"402","18091","LaPorte County","Indiana",2007,"White",94331,37560,0.398172392956716
"403","18091","LaPorte County","Indiana",2007,"Black",10823,3105,0.286889032615726
"404","18091","LaPorte County","Indiana",2007,"Asian",401,168,0.418952618453865
"405","18091","LaPorte County","Indiana",2007,"NH_White",91536,36879,0.402890665967488
"406","18091","LaPorte County","Indiana",2007,"Hispanic",4380,1098,0.250684931506849
"407","18091","LaPorte County","Indiana",2007,"Other",3885,861,0.221621621621622
"408","18091","LaPorte County","Indiana",2007,"NH",105060,40596,0.386407766990291
"409","18127","Porter County","Indiana",2007,"All",158169,61024,0.385815172378911
"410","18127","Porter County","Indiana",2007,"White",147175,57539,0.390956344487855
"411","18127","Porter County","Indiana",2007,"Black",3758,1323,0.352048962213944
"412","18127","Porter County","Indiana",2007,"Asian",1614,490,0.30359355638166
"413","18127","Porter County","Indiana",2007,"NH_White",140930,55637,0.39478464485915
"414","18127","Porter County","Indiana",2007,"Hispanic",9838,3083,0.313376702581826
"415","18127","Porter County","Indiana",2007,"Other",5622,1672,0.297403059409463
"416","18127","Porter County","Indiana",2007,"NH",148331,57941,0.390619627724481
"417","55059","Kenosha County","Wisconsin",2007,"All",161254,59838,0.371079167028415
"418","55059","Kenosha County","Wisconsin",2007,"White",138509,53270,0.38459594683378
"419","55059","Kenosha County","Wisconsin",2007,"Black",9244,2959,0.320099524015578
"420","55059","Kenosha County","Wisconsin",2007,"Asian",2069,720,0.347994200096665
"421","55059","Kenosha County","Wisconsin",2007,"NH_White",132736,51664,0.389223722275796
"422","55059","Kenosha County","Wisconsin",2007,"Hispanic",14583,3887,0.266543235273949
"423","55059","Kenosha County","Wisconsin",2007,"Other",11432,2889,0.252711686494052
"424","55059","Kenosha County","Wisconsin",2007,"NH",146671,55951,0.381472820121224
"425","55101","Racine County","Wisconsin",2007,"All",194522,75140,0.386280215091352
"426","55101","Racine County","Wisconsin",2007,"White",159858,64058,0.400718137346895
"427","55101","Racine County","Wisconsin",2007,"Black",20489,7208,0.351798526038362
"428","55101","Racine County","Wisconsin",2007,"Asian",1932,558,0.288819875776398
"429","55101","Racine County","Wisconsin",2007,"NH_White",150756,61322,0.406763246570617
"430","55101","Racine County","Wisconsin",2007,"Hispanic",18636,5387,0.289064176861988
"431","55101","Racine County","Wisconsin",2007,"Other",12243,3316,0.270848648207139
"432","55101","Racine County","Wisconsin",2007,"NH",175886,69753,0.396580739797369
"433","55127","Walworth County","Wisconsin",2007,"All",100140,38579,0.385250649091272
"434","55127","Walworth County","Wisconsin",2007,"White",93228,36493,0.391438194533831
"435","55127","Walworth County","Wisconsin",2007,"Black",698,316,0.452722063037249
"436","55127","Walworth County","Wisconsin",2007,"Asian",917,520,0.567066521264995
"437","55127","Walworth County","Wisconsin",2007,"NH_White",89138,35560,0.398931993089367
"438","55127","Walworth County","Wisconsin",2007,"Hispanic",8422,1956,0.2322488720019
"439","55127","Walworth County","Wisconsin",2007,"Other",5297,1250,0.235982631678308
"440","55127","Walworth County","Wisconsin",2007,"NH",91718,36623,0.399300028347762
"441","17007","Boone County","Illinois",2008,"All",52974,16802,0.317174462944086
"442","17007","Boone County","Illinois",2008,"White",48015,15616,0.325231698427575
"443","17007","Boone County","Illinois",2008,"Black",1100,333,0.302727272727273
"444","17007","Boone County","Illinois",2008,"Asian",642,257,0.400311526479751
"445","17007","Boone County","Illinois",2008,"NH_White",NA,14052,NA
"446","17007","Boone County","Illinois",2008,"Hispanic",NA,2080,NA
"447","17007","Boone County","Illinois",2008,"Other",3217,596,0.185265775567299
"448","17007","Boone County","Illinois",2008,"NH",NA,14722,NA
"449","17031","Cook County","Illinois",2008,"All",5278738,1939190,0.367358637613763
"450","17031","Cook County","Illinois",2008,"White",2793457,1145890,0.410204989731362
"451","17031","Cook County","Illinois",2008,"Black",1340954,475710,0.354754898378319
"452","17031","Cook County","Illinois",2008,"Asian",300883,102104,0.339347852819867
"453","17031","Cook County","Illinois",2008,"NH_White",2372458,1031444,0.434757538384241
"454","17031","Cook County","Illinois",2008,"Hispanic",1203695,313730,0.260639115390527
"455","17031","Cook County","Illinois",2008,"Other",843444,215486,0.255483470153324
"456","17031","Cook County","Illinois",2008,"NH",4075043,1625460,0.398881680512328
"457","17037","DeKalb County","Illinois",2008,"All",104691,36409,0.347775835554155
"458","17037","DeKalb County","Illinois",2008,"White",89784,32354,0.360353737859752
"459","17037","DeKalb County","Illinois",2008,"Black",6037,1630,0.27000165645188
"460","17037","DeKalb County","Illinois",2008,"Asian",2842,865,0.304363124560169
"461","17037","DeKalb County","Illinois",2008,"NH_White",84616,31154,0.368180958683937
"462","17037","DeKalb County","Illinois",2008,"Hispanic",9706,2331,0.240160725324542
"463","17037","DeKalb County","Illinois",2008,"Other",6028,1560,0.258792302587923
"464","17037","DeKalb County","Illinois",2008,"NH",94985,34078,0.358772437753329
"465","17043","DuPage County","Illinois",2008,"All",927410,338050,0.36450976375066
"466","17043","DuPage County","Illinois",2008,"White",747734,282312,0.377556724717613
"467","17043","DuPage County","Illinois",2008,"Black",40540,15600,0.384805130735076
"468","17043","DuPage County","Illinois",2008,"Asian",91034,28052,0.308148603818354
"469","17043","DuPage County","Illinois",2008,"NH_White",672102,261027,0.388374086076221
"470","17043","DuPage County","Illinois",2008,"Hispanic",112917,30995,0.274493654631278
"471","17043","DuPage County","Illinois",2008,"Other",48102,12086,0.25125774396075
"472","17043","DuPage County","Illinois",2008,"NH",814493,307055,0.37698912083959
"473","17063","Grundy County","Illinois",2008,"All",46819,17056,0.364296546273949
"474","17063","Grundy County","Illinois",2008,"White",44514,16402,0.368468347036887
"475","17063","Grundy County","Illinois",2008,"Black",809,230,0.284301606922126
"476","17063","Grundy County","Illinois",2008,"Asian",301,139,0.461794019933555
"477","17063","Grundy County","Illinois",2008,"NH_White",NA,15558,NA
"478","17063","Grundy County","Illinois",2008,"Hispanic",NA,986,NA
"479","17063","Grundy County","Illinois",2008,"Other",1195,285,0.238493723849372
"480","17063","Grundy County","Illinois",2008,"NH",NA,16070,NA
"481","17089","Kane County","Illinois",2008,"All",497667,163555,0.328643450339283
"482","17089","Kane County","Illinois",2008,"White",380618,132907,0.34918737421772
"483","17089","Kane County","Illinois",2008,"Black",27355,9085,0.332114787059039
"484","17089","Kane County","Illinois",2008,"Asian",15270,4595,0.300916830386379
"485","17089","Kane County","Illinois",2008,"NH_White",310897,115982,0.373056028202266
